K,covariance_type,bic,aic
2,full,-1816.6528632092386,-2198.1066936205275
2,diag,2147.3512885776418,2005.9133514588493
2,tied,298.568769851263,71.41087084229319
2,spherical,10222.06813010954,10140.63416631387
3,full,-2692.161280999657,-3266.4850256638447
3,diag,1299.7457096252926,1085.4458048998495
3,tied,-438.85314993739905,-704.5850317969487
3,spherical,9259.663250311909,9135.369305571152
4,full,-2682.9494153928813,-3450.143074309968
4,diag,586.9114040720178,299.7495317399239
4,tied,-438.0187234356565,-742.3245881457859
4,spherical,8773.860933175736,8606.707007489891
5,full,-3176.5300916617043,-4136.59366483169
5,diag,87.74133463738144,-272.28250530136324
5,tied,-685.5335976966106,-1028.4134452573198
5,spherical,8225.883955438758,8015.870048807823
6,full,-3347.5517324682714,-4500.485219891156
6,diag,-301.6475058741147,-734.53331341951
6,tied,-875.8144792576603,-1257.2683096689493
6,spherical,7893.6186312030295,7640.744743627007
7,full,-3608.002987890618,-4953.806389566402
7,diag,-448.6691169188979,-954.416892070944
7,tied,-925.850226245154,-1345.8780395070228
7,spherical,7776.9687102983335,7481.234841777222
8,full,-3526.3194720953143,-5064.992788023997
8,diag,-607.1848413203822,-1185.794584079079
8,tied,-1027.0601030801572,-1485.6618991926057
8,spherical,7629.769537869775,7291.175688403575
9,full,-3374.275369429774,-5105.818599611355
9,diag,-718.3491585907855,-1369.820868956133
9,tied,-1050.9434434061313,-1548.1192223691596
9,spherical,7530.008202213179,7148.55437180189
10,full,-3350.4431366046592,-5274.8562810391395
10,diag,-715.7219203796303,-1440.0555983516285
10,tied,-1182.6586599373934,-1718.4084217510015
10,spherical,7414.486786971903,6990.1729756155255
