K,covariance_type,bic,aic,aicc
2,full,-13011.894452667668,-13676.224157316541,-13549.295023458273
2,diag,5455.362348019003,5262.492433766104,5270.924205660198
2,tied,-11363.496221444431,-11744.95005185572,-11709.111125681224
2,spherical,13880.164363784797,13773.014411422077,13775.55844273323
3,full,-13601.998731663918,-14600.636287684483,-14240.755099565671
3,diag,3790.4393683516128,3498.9914979250098,3519.042779976292
3,tied,-11355.874533264372,-11788.760340809768,-11741.394823568387
3,spherical,13006.22314412683,12843.355216535494,12849.30702376441
4,full,-13850.598084443787,-15183.543491836044,-14321.036825169378
4,diag,2464.6931216603607,2074.667295060054,2112.294261352189
4,tied,-11725.586991764221,-12209.904776443724,-12148.996975025284
4,spherical,11835.838876504682,11617.25297368473,11628.189056158957
5,full,-13968.966355289163,-15636.219614053112,-13572.137981400048
5,diag,1584.3668337582774,1095.7630509842668,1157.8957524060677
5,tied,-11875.941733984102,-12411.69149579771,-12335.049160031287
5,spherical,11143.920213955658,10869.61633590709,10887.243454551159
6,full,-14023.496340074507,-16025.057450210148,-9690.100928470998
6,diag,895.540788174228,308.35904922651355,403.1259665197466
6,tied,-12023.177364419158,-12610.359103366873,-12515.59218607364
6,spherical,10768.615742720893,10438.59388944371,10464.763824084232
7,full,-13771.271013660713,-16107.139975168044,inf
7,diag,144.01763424687306,-541.7420608745454,-404.7207842788007
7,tied,-12156.297546500657,-12794.911262582478,-12679.407386613486
7,spherical,10563.408797427637,10177.66896892184,10214.395426320943
8,full,-13564.564117939457,-16234.74093081848,inf
8,diag,-125.51797754401241,-909.8556288391346,-719.079424873129
8,tied,-12261.628067713156,-12951.673760929083,-12812.569760929084
8,spherical,10422.244445382044,9980.786641647632,10030.26470169382
9,full,-13348.581168334444,-16353.065832585158,inf
9,diag,-515.4871521352075,-1398.4027596040337,-1139.96639596767
9,tied,-12309.161468393027,-13050.639138743061,-12884.787899073639
9,spherical,10319.567039479241,9822.391260516213,9887.019831944785
10,full,-13157.905917978966,-16496.69843360137,inf
10,diag,-609.6103100905682,-1591.1038737330982,-1247.9768379024795
10,tied,-12315.214140237267,-13108.123787721408,-12912.055411653031
10,spherical,10153.827216155087,9600.933461963443,9683.341324371306
